country_code,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Per_Change,,,,,2001-2002,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2007-2013,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,years_total
SLB,Solomon Islands,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,40,,,,,,,,,40
SOM,Somalia,,,,,,,11,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,11
SSD,South Sudan,,,,,,,21,,,,,,,,,,,100%,,,,,,,,,,,25,,,,,,,,,46
LKA,Sri Lanka,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,3,,,,,,,,,3
SDN,Sudan,,,,,,,30,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,30
SUR,Suriname,3,,,,,,,,,,43.4,,,,,,,100%,,,,,,,,,,,43,,,,,,,,,89.4
SWZ,Swaziland,0,,,,,,,,,,1.5,,,,,,,100%,,,,,,,,,0.55126,,2,,,,,,,,,4.05126
TJK,Tajikistan,,,,,,1,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,1
TLS,Timor-Leste,,,8,,,,,,,,,,,,,,,100%,,,,,,,,,,,41,,41.04886,,,,,,,90.04886
TGO,Togo,2,,,,,,38,,,,57.1,,,,,,,100%,,,,,,,,,,,57,,,,,,42.83593,,,196.93593
UGA,Uganda,,,,,,,9.68288,,,32.76936,,42.76043,,,,,,201%,,,,,,,,,,,43,,,,,,,74.33729,,202.54996
TZA,United Republic of Tanzania,,,,,,,,,,,63.59064,,,,,,,100%,,,,,,,15.93584,,,25.62477,72,,,,72.03152,,,,54.4379,303.62067
VUT,Vanuatu,,,,,,,,55.7,,,,,,,,,,100%,,,,,,,,,,,51,,,,,,,,,106.7
VNM,Viet Nam,16,,,,,13,,,,,,,,,,,,100%,,,,,,,,,,,9,,,9.4,,,,,,47.4
ZMB,Zambia,,,,,,,23,28.53598,41,,50,,,,,,,100%,,,,,7.33827,,,,,,57,,,,,,40.55973,,,247.43398
ZWE,Zimbabwe,,,,,,,,,,17.3,,,,,26.8,8.98492,,103%,,,,,,,,3.11699,,,10,,,9.70415,,,,,,75.90606
